employerId,Week_Num,Num_of_Employees,Perc_Chg,location,buildingId
379,1,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,18,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,48,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,24,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,8,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,35,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,27,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,57,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,25,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,2,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,52,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,12,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,50,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,26,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,29,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,3,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,13,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,51,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,54,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,19,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,6,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,4,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,28,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,9,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,55,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,36,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,39,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,23,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,53,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,32,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,45,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,40,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,64,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,11,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,22,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,14,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,60,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,44,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,7,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,15,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,10,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,34,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,58,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,16,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,59,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,61,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,17,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,41,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,33,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,65,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,42,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,20,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,21,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,31,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,62,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,37,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,38,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,56,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,47,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,63,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,30,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,5,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,43,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,46,1,0,POINT (-1849.997168394888 1744.6010147106394),823
379,49,1,0,POINT (-1849.997168394888 1744.6010147106394),823
381,16,4,0,POINT (877.2786575380362 1358.5441805909259),279
381,49,4,0,POINT (877.2786575380362 1358.5441805909259),279
381,36,4,0,POINT (877.2786575380362 1358.5441805909259),279
381,23,4,0,POINT (877.2786575380362 1358.5441805909259),279
