employerId,Yr_Month,Num_of_Employees,location,buildingId
379,2022-03,1,POINT (-1849.997168394888 1744.6010147106394),823
379,2022-04,1,POINT (-1849.997168394888 1744.6010147106394),823
379,2022-05,1,POINT (-1849.997168394888 1744.6010147106394),823
379,2022-06,1,POINT (-1849.997168394888 1744.6010147106394),823
379,2022-07,1,POINT (-1849.997168394888 1744.6010147106394),823
379,2022-08,1,POINT (-1849.997168394888 1744.6010147106394),823
379,2022-09,1,POINT (-1849.997168394888 1744.6010147106394),823
379,2022-10,1,POINT (-1849.997168394888 1744.6010147106394),823
379,2022-11,1,POINT (-1849.997168394888 1744.6010147106394),823
379,2022-12,1,POINT (-1849.997168394888 1744.6010147106394),823
379,2023-01,1,POINT (-1849.997168394888 1744.6010147106394),823
379,2023-02,1,POINT (-1849.997168394888 1744.6010147106394),823
379,2023-03,1,POINT (-1849.997168394888 1744.6010147106394),823
379,2023-04,1,POINT (-1849.997168394888 1744.6010147106394),823
379,2023-05,1,POINT (-1849.997168394888 1744.6010147106394),823
381,2022-03,4,POINT (877.2786575380362 1358.5441805909259),279
381,2022-04,4,POINT (877.2786575380362 1358.5441805909259),279
381,2022-05,4,POINT (877.2786575380362 1358.5441805909259),279
381,2022-06,4,POINT (877.2786575380362 1358.5441805909259),279
381,2022-07,4,POINT (877.2786575380362 1358.5441805909259),279
381,2022-08,4,POINT (877.2786575380362 1358.5441805909259),279
381,2022-09,4,POINT (877.2786575380362 1358.5441805909259),279
381,2022-10,4,POINT (877.2786575380362 1358.5441805909259),279
381,2022-11,4,POINT (877.2786575380362 1358.5441805909259),279
381,2022-12,4,POINT (877.2786575380362 1358.5441805909259),279
381,2023-01,4,POINT (877.2786575380362 1358.5441805909259),279
381,2023-02,4,POINT (877.2786575380362 1358.5441805909259),279
381,2023-03,4,POINT (877.2786575380362 1358.5441805909259),279
381,2023-04,4,POINT (877.2786575380362 1358.5441805909259),279
381,2023-05,4,POINT (877.2786575380362 1358.5441805909259),279
382,2022-03,6,POINT (670.3987400004884 1584.4743462106067),3
382,2022-04,4,POINT (670.3987400004884 1584.4743462106067),3
382,2022-05,4,POINT (670.3987400004884 1584.4743462106067),3
382,2022-06,4,POINT (670.3987400004884 1584.4743462106067),3
382,2022-07,4,POINT (670.3987400004884 1584.4743462106067),3
382,2022-08,4,POINT (670.3987400004884 1584.4743462106067),3
382,2022-09,4,POINT (670.3987400004884 1584.4743462106067),3
382,2022-10,4,POINT (670.3987400004884 1584.4743462106067),3
382,2022-11,4,POINT (670.3987400004884 1584.4743462106067),3
382,2022-12,4,POINT (670.3987400004884 1584.4743462106067),3
382,2023-01,4,POINT (670.3987400004884 1584.4743462106067),3
382,2023-02,4,POINT (670.3987400004884 1584.4743462106067),3
382,2023-03,4,POINT (670.3987400004884 1584.4743462106067),3
382,2023-04,4,POINT (670.3987400004884 1584.4743462106067),3
